iter	Passed	Remaining
860	2407	388
861	2409	385
862	2412	382
863	2414	380
864	2416	377
865	2419	374
866	2421	371
867	2424	368
868	2426	365
869	2428	362
870	2431	360
871	2433	357
872	2436	354
873	2438	351
874	2440	348
875	2443	345
876	2445	342
877	2447	340
878	2450	337
879	2452	334
880	2455	331
881	2457	328
882	2459	325
883	2462	323
884	2464	320
885	2466	317
886	2469	314
887	2471	311
888	2473	308
889	2476	306
890	2478	303
891	2480	300
892	2483	297
893	2485	294
894	2488	291
895	2490	289
896	2492	286
897	2495	283
898	2497	280
899	2499	277
900	2502	274
901	2504	272
902	2506	269
903	2509	266
904	2511	263
905	2514	260
906	2517	258
907	2519	255
908	2522	252
909	2525	249
910	2528	247
911	2531	244
912	2534	241
913	2537	238
914	2540	235
915	2543	233
916	2546	230
917	2548	227
918	2551	224
919	2553	222
920	2556	219
921	2558	216
922	2561	213
923	2563	210
924	2565	208
925	2568	205
926	2570	202
927	2572	199
928	2575	196
929	2577	193
930	2579	191
931	2582	188
932	2584	185
933	2587	182
934	2589	180
935	2591	177
936	2593	174
937	2596	171
938	2598	168
939	2601	166
940	2603	163
941	2606	160
942	2608	157
943	2611	154
944	2613	152
945	2615	149
946	2618	146
947	2621	143
948	2623	140
949	2625	138
950	2628	135
951	2630	132
952	2632	129
953	2635	127
954	2638	124
955	2641	121
956	2645	118
957	2647	116
958	2650	113
959	2653	110
960	2656	107
961	2660	105
962	2663	102
963	2666	99
964	2670	96
965	2673	94
966	2677	91
967	2680	88
968	2684	85
969	2687	83
970	2690	80
971	2694	77
972	2698	74
973	2701	72
974	2705	69
975	2708	66
976	2712	63
977	2716	61
978	2719	58
979	2722	55
980	2726	52
981	2729	50
982	2733	47
983	2736	44
984	2740	41
985	2743	38
986	2747	36
987	2750	33
988	2754	30
989	2757	27
990	2761	25
991	2765	22
992	2768	19
993	2772	16
994	2777	13
995	2781	11
996	2785	8
997	2789	5
998	2793	2
999	2796	0
